DIAGNOSTICO_EXPERTO;TIPO DE EQUIPO;TAG CUERPO;FABRICANTE CUERPO;MODELO CUERPO;SERIAL CUERPO;TAMAÑO CUERPO;ANSI CUERPO;MATERIAL CUERPO;MODELO ACTUADOR;FABRICANTE ACTUADOR;SERIAL ACTUADOR;TAMAÑO ACTUADOR;FALLA ACTUADOR;BENCH SET ACTUADOR;TRAVEL ACTUADOR;MODELO POSICIONADOR;FABRICANTE POSICIONADOR;SERIAL POSICIONADOR;NIVEL DE DIAG POSICIONADOR;PROTOCOLO POSICIONADOR;TRANSMISOR DE POSICIONADOR;SIS POSICIONADOR;FECHA RECEPCIÓN;FRICCION RECOMENDADA;FRICCION MEDIDA;BANDA DE ERROR DINAMICA RECOMENDADA;BANDA DE ERROR DINAMICA MEDIDA;LINEALIDAD DINAMICA RECOMENDADA;LINEALIDAD DINAMICA MEDIDA;TORQUE - CARGA EN EL ASIENTO RECOMENDADA;TORQUE - CARGA EN EL ASIENTO MEDIDA
ACEPTABLE CON COMENTARIOS;Válvula de control;PCV-5001;2;ET;2002094;3;#600;WCC;667;2;2002094;40;FAIL CLOSE (FC);8.0-30 psi;1 1/8;DVC 6200;2;20020949;HC;HART;I2P-100;N/A;23/09/2025;50;100;2,42;1,92;2,4;0,12;137,37;70,16
ALERTA;Válvula de control;LCV-3055;2;EZ;20020954;1;#600;WCC;667;2;20020954;30;FAIL CLOSE (FC);6.0-30.0 psi; 3/4;DVC 6200;2;20020954;HC;HART;N/A;N/A;23/09/2025;15;1;2,6;1,57;2,4;0,38;47,12;-7,16
ACEPTABLE CON COMENTARIOS;Válvula de control;FCV-3040;2;ET;20020955;3;#600;WCC;667;2;20020955;40;FAIL CLOSE (FC);6.0-30.0 psi;1 1/8;DVC 6200;2;20020955;HC;HART;N/A;N/A;23/09/2025;50;46;2,6;3,36;2,4;0,33;137,37;602,4
ACEPTABLE CON COMENTARIOS;Válvula de control;FCV-0120;2;V150;F000096200;3;#150;STL;2052;2;F000096200;2;FAIL OPEN (FO);0.0- 29 psi;90°;DVC 6000;2;F000096200;HC;HART;N/A;N/A;23/09/2025;250;134;3,6;6,12;2,6;1,5;549;242
ACEPTABLE CON COMENTARIOS;Válvula de control;FCV-4061;2;GX;F001354428;1;#300;STL;GX;2;F001354428;225;FAIL OPEN (FO);9.0-30.0 psi;18mm;DVC 6200;2;F000096184 ;HC;HART;N/A;N/A;23/09/2025;120;76;2,42;1,44;2,4;0,31;335;536,52
ACEPTABLE CON COMENTARIOS;Válvula de control;LCV-4030;2;EZ;F004194185;1 1/2;#300;CFSM;657;2;F004194185;30;FAIL OPEN (FO);3.0-24 psi; 3/4;DVC 6200;2;19078160;HC;HART;N/A;N/A;23/09/2025;100;16;2,6;2,05;2,4;0,18;180,22;75,41
ACEPTABLE CON COMENTARIOS;Válvula de control;PCV-7050;2;ET;F000156131;2;#300;WCC;667;2;F000156131;40;FAIL CLOSE (FC);6.0-30.0 psi;22mm;DVC 6000;2;F000156131;HC;HART;N/A;N/A;23/09/2025;44;25;2,42;1;2,4;0,14;549,78;294,8
ACEPTABLE CON COMENTARIOS;Válvula de control;LCV-6040;2;GX;F000096193;1 1/2;#150;STL;GX;2;F000096193;225;FAIL CLOSE (FC);6.0-30.0 psi; 3/4;DVC 6200;2;F000096193;HC;HART;N/A;N/A;23/09/2025;149;34;2,6;1,3;2,4;0,51;109,96;400,52
ACEPTABLE CON COMENTARIOS;Válvula de control;TCV-6050;2;EZ;19078163;2;#150;WCC;667;2;19078163;40;FAIL CLOSE (FC);10.0-30 psi;1 1/8;DVC 6000;2;19078163;HC;HART;N/A;N/A;23/09/2025;120;94;2,6;1,12;2,4;0,26;251,33;802,28
ACEPTABLE CON COMENTARIOS;Válvula de control;PCV-7070;2;ET;F000156129;2;#300;WCC;667;2;F000156129;40;FAIL CLOSE (FC);6.0-30.0 psi; 3/4;DVC6000 ;2;F000156133;HC;HART;N/A;N/A;23/09/2025;44;25;2,6;0,87;2,4;0,17;549,78;266,37
ACEPTABLE  ;Válvula de control;TCV-6020;2;EZ;19078164;1 1/2;#150;WCC;667;2;19078164;30;FAIL CLOSE (FC);9.0-30 psi; 3/4;DVC 6200;2;19078164;HC;HART;N/A;N/A;23/09/2025;75;50;2,6;2,2;2,4;0,08;350;275,4
ACEPTABLE CON COMENTARIOS;Válvula de control;TCV-4100;2;ET;19078166;4;#150;WCC;667;2;19078166;45;FAIL CLOSE (FC);9.0-30 psi;1 1/8;DVC 6000;2;19078166;HC;HART;N/A;N/A;23/09/2025;44;44;2,6;1,26;2,4;0,12;579,48;1185,61
ACEPTABLE  ;Válvula de control;LCV-4150;2;GX;F000096196;1 1/2;#150;STL;GX;2;F00009616;225;FAIL CLOSE (FC);9.0-60.0 psi;1 1/8;DVC6000;2;F000096196;HC;HART;N/A;N/A;23/09/2025;60;51;2,6;2,16;2,4;0,53;549,78;632,9
ACEPTABLE CON COMENTARIOS;Válvula de control;FCV-4120;2;ET;19078165;3;#300;WCC;667;2;19078165;45;FAIL CLOSE (FC);8.0-30 psi;1 1/2;DVC 6200;2;19078165;HC;HART;N/A;N/A;23/09/2025;31;62;2,42;1,46;2,4;0,42;137,37;735,72
ALERTA;Válvula de control;TCV-4070;2;V-150;F000096188;2;#150;STL;2052;2;F000096188;1;FAIL CLOSE (FC);0.0-58.0 psi;90°;DVC6000 ;2;F000096188 ;HC;HART;N/A;N/A;23/09/2025;0;0;3,6;7,37;2,4;11,28;450;77
ACEPTABLE CON COMENTARIOS;Válvula de control;PCV-7030;2;GX;12210387;1;#300;STL;GX;2;12210387;225;FAIL CLOSE (FC);8.0-30 psi;22mm;DVC6200;2;F000156129 ;HC;HART;N/A;N/A;23/09/2025;60;19;2,6;1,19;2,4;0,2;221;140,59
ACEPTABLE CON COMENTARIOS;Válvula de control;LCV-4020;2;ET;F004194183;3;#600;WCC;667;2;F004194183;40;FAIL CLOSE (FC);8.0-30 psi; 3/4;DVC6200;2;20020948;HC;HART;N/A;N/A;23/09/2025;50;59;2,6;2,07;2,4;0,17;137,37;71,59
ACEPTABLE CON COMENTARIOS;Válvula de control;PCV-4005;2;GX;F000096190;1 1/2;#300;STL;GX;2;F000096190;225;FAIL CLOSE (FC);58.0-87 psi; 1/2;DVC6000;2;F000096190;HC;HART;N/A;N/A;23/09/2025;60;121;2,42;1,47;2,4;0,53;94,25;631,77
ACEPTABLE  ;Válvula de control;PCV-5002;2;V-200;F000096189;8;#150;WCC;2052;2;F000096189;3;FAIL CLOSE (FC);0.0-25 psi;90°;DVC6000;2;F000096189;HC;HART;N/A;N/A;23/09/2025;0;0;3,6;1,64;2,6;0,11;150;117
ACEPTABLE CON COMENTARIOS;Válvula de control;PCV-1301;2;GX;F000450350;1;#300;STL;GX;2;F000450350;225;FAIL CLOSE (FC);8.0-30.0 psi;22mm;DVC 6200;2;F000450350;HC;HART;N/A;N/A;23/09/2025;60;39;2,6;1,55;2;0,43;235,48;654,5
ACEPTABLE CON COMENTARIOS;Válvula de control;PCV-6040;2;GX;F000278793;3;#150;STL;GX;2;F000278793;750;FAIL CLOSE (FC);8.0-30.0 psi;1 1/2;DVC 6200;2;F000278793;HC;HART;N/A;N/A;23/09/2025;120;35;2,6;2,76;2,4;0,11;221;1945,6
ACEPTABLE CON COMENTARIOS;Válvula de control;PCV-4020;2;ET;F000096187;2;#300;WCC;667;2;F000096187;40;FAIL CLOSE (FC);6.0-30 psi; 3/4;DVC6000;2;F000096187;HC;HART;N/A;N/A;23/09/2025;44;47;2,6;2,96;2,4;0,11;549,78;558,01
